4,53,1
5,63,1
10,59,1
9,77,1
13,49,1
13,69,1
12,88,1
15,75,1
18,61,1
19,65,1
22,74,1
27,72,1
28,76,1
24,58,1
27,55,1
28,60,1
30,52,1
31,60,1
32,61,1
36,72,1
86,132,2
85,115,2
85,96,2
78,94,2
74,96,2
97,122,2
98,116,2
98,124,2
99,119,2
99,128,2
101,115,2
108,111,2
110,111,2
108,116,2
111,126,2
115,117,2
117,115,2
28,147,2
32,149,2
35,153,2
33,154,2
38,151,2
41,150,2
38,145,2
38,143,2
32,143,2
34,141,2
44,156,2
44,149,2
44,143,2
46,142,2
47,149,2
49,152,2
50,142,2
53,144,2
52,152,2
55,155,2
54,124,2
60,136,2
63,139,2
70,4,1
77,12,1
83,21,1
61,15,1
69,15,1
78,16,1
66,18,1
58,13,1
64,20,1
69,21,1
66,23,1
61,25,1
76,27,1
72,31,1
64,30,1
