4,53,1
5,63,1
10,59,1
9,77,1
13,49,1
13,69,1
12,88,1
15,75,1
18,61,1
19,65,1
22,74,1
27,72,1
28,76,1
24,58,1
27,55,1
28,60,1
30,52,1
31,60,1
32,61,1
36,72,1
86,132,0
85,115,0
85,96,0
78,94,0
74,96,0
97,122,0
98,116,0
98,124,0
99,119,0
99,128,0
101,115,0
108,111,0
110,111,0
108,116,0
111,126,0
115,117,0
117,115,0
28,147,0
32,149,0
35,153,0
33,154,0
38,151,0
41,150,0
38,145,0
38,143,0
32,143,0
34,141,0
44,156,0
44,149,0
44,143,0
46,142,0
47,149,0
49,152,0
50,142,0
53,144,0
52,152,0
55,155,0
54,124,0
60,136,0
63,139,0
70,4,1
77,12,1
83,21,1
61,15,1
69,15,1
78,16,1
66,18,1
58,13,1
64,20,1
69,21,1
66,23,1
61,25,1
76,27,1
72,31,1
64,30,1
